"tag","condition_verbose","response","node3"
"t111100","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","they wanted pizza","Pu_f=0"
"t000000","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","he went to the closest vendor","C=0"
"t001101","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","he wanted the exercise","Cu=1"
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","he wanted a walk","Cu=1"
"t011110","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","he wanted hot dogs","Pu_f=1"
"t110001","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","he wanted a walk and pizza","Pu_f=0"
"t101011","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","they wanted exercise before the hot dogs","Cu=1"
"t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","The pizza shop is probably healthier as he is sporty so probably healthy","br_f=0"
"t000110","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","it was in his view and because he is lazy he will go for the first thing he finds","C=0"
"t010101","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","initially because they are lazy they wanted to go to hotdogs because it was in their view. However they probably changed their mind so then went to pizzas","Pu_f=0"
"t111010","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","they know the hotdog is there and its his favourite so took the shortest route probably because he was very hungry","Pu_p=1"
"t110111","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","wanted to try the pizza but changed their mind so went for hotdogs as its their favourite","Pu_f=1"
"t101001","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.","They saw the pizza shop but probably wanted to go around to see if there is anything else. Probably didnt like the hotdogs that were given in the hotdog shop so they went all the way round back to the pizza as they preffer that","P=0"
"t100000","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","they are just extremely lazy and wanted to go for the first thing they saw","C=0"
"t001011","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","they preffer hotdog instead of pizza","P=1"
"t000111","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","They wanted to get to know the area and took the long way","K=0"
"t111011","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","They wanted to go keep fit by going the long route","Cu=1"
"t001100","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","They enjoy pizza","P=0"
"t101010","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","They wanted to see more of the area","br_p=1"
"t110000","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route.","They are too lazy to walk further","C=0"
"t011101","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","They wanted to keep fit and went the long way","Cu=1"
"t010110","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","They were too lazy to go any further","C=0"
"t100001","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","They decided to get to know the area","K=0"
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","He has decided to try and be better by getting fit","Cu=1"
"t101011","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","They were sporty so didn't mind walking until they found their favourite food","C=1"
"t000000","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","They could see the food stand so just went to that as it would be easiest","C=0"
"t011110","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","He knew the area and knew exactly what he wanted so went directly to it","K=1"
"t110001","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","The hotdog stand was closed","br_f=0"
"t100010","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","They decided to walk in the opposite direction to the food they could see as they really wanted hotdogs","Pu_f=1"
"t111100","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","He fancied a change from hotdogs","Pu_f=0"
"t001101","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","They were prepared to keep walking until they found exactly what they wanted as they were sporty and fit","C=1"
"t010100","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","Charlie does not like hot dogs and he has taken the shortest route to the pizza stand.","P=0"
"t110110","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","It is the quickest route from his starting point and also he can see the stand from there.","br_p=0"
"t011011","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","Drew is sporty and wanted the execise so took the longest route. Also he couldnt see the hotdog stand from his starting point.","C=1"
"t101000","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","Jesse does not know the area well so may be afraid of getting lost. He cannot see the hot dog stand from his starting point so has settled for pizza instead.","K=0"
"t111001","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","Taylor is sporty and enjoys the exercise hence him taking the longest route. He has decided to have pizza as an alternative.","C=1"
"t100111","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","I am not sure because the route selected contradicts one of the stated characteristice. The best explanantion is that he wasn't sure of the area and maybe also thought that there would be a better hot dog van around the corner.","K=0"
"t001010","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","Brooklyn is taking the long route round in order to investigate the area and also check out other food outlets in his area (as the hotdog van wasn't in his sight)","K=0"
"t000101","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","Adrian is unsure of the area and therefore did not know the quickest route to take. Also I am assuming that he does not like hot dogs and prefers pizza.","K=0"
"t101110","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route.","They could see the Hot dog stand and could get to it quickly","Su=1"
"t100101","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","They got lost or distracted as they passed the hot dog stall or someone told them there was a pizza stall round the corner.","K=0"
"t000011","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","He got lost or someone told him there was a hot dog stall around the corner","K=0"
"t111111","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by long route.","Taylor wanted some exercise and took the long route to the hot dog stall.","Cu=1"
"t110100","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","Someone told him there was a pizza stall around the corner and he wanted something different from hot dogs.","Pu_f=0"
"t010010","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.","He might have just wanted a hot dog and knew or was told there was a stall around the corner.","Pu_f=1"
"t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","He loves Pizza and sees the stall and just goes to that stall.","P=0"
"t011001","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","Drew wants some exercise and goes a long way, finally stopping at the pizza stall.","Cu=1"
"t100111","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","He decided to choose hotdogs because they are his favourite food.","P=1"
"t001010","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","Brooklyn prefers hotdogs over pizza.","P=1"
"t111001","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","Taylor wnated to try something different to eat.","Pu_f=0"
"t010100","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","The pizza stand was the nearest option.","Su=0"
"t110110","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","It was the nearest option and Parkers favourite.","P=1"
"t000101","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","Adrian dislikes hot dogs.","P=0"
"t101000","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","Jesse doesn't realise there is a hot dog stand.","Ku_f=0"
"t011011","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","He prefers hot-dogs over pizza.","P=1"
"t110011","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","They wanted their favourite food and also to get some exercise beforehand, so took a longer route","Cu=1"
"t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","They wanted to do some exercise to feel that they earned the pizza, so took the long way round.","Cu=1"
"t101101","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","They didn't like the look of the hot dogs at the hot dog stand, so decided to look for something else.","br_f=0"
"t111110","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","They wanted their favourite food which is hot dogs, and wanted to get it quickly.","P=1"
"t011000","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","Drew was hungry and wanted food quickly.","Pu_p=1"
"t001111","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by long route.","They wanted to see what the options were before choosing a food item.","Ku_f=0"
"t000010","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","Adrian didn't want to eat pizza, so decided to wander around and see if anything else was available.","Pu_f=1"
"t100100","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route.","They decided to explore the area before deciding to buy food, and liked the look of the pizza.","br_p=1"
"t011111","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by long route.","Drew knows the area and is sporty so he already knows whta he will eat and wants to do the most exercise he can too.","C=1"
"t010000","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route.","Charlie is lazy so wants the closest food to his current postion.","C=0"
"t001110","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route.","Brooklyn does not know the area very well so eats at the closest vendor.","K=0"
"t110010","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.","Parker knows the area so has choosen the shortest route to what he wants to eat.","K=1"
"t101100","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","Jesse is sporty so wants to have some good exercise before eating.","C=1"
"t100011","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","Harper does not know the area well so wlaks around until she finds hot dogs which are her favourite.","K=0"
"t111101","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","Taylor is sporty so wants to have a good run before eating.","C=1"
"t000001","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","Adrian doesn't know the area well but does not fancy hot dogs today so walks around slowly until he finds pizza.","K=0"
"t000110","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","They went to the closest place due to being lazy","C=0"
"t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","they went for a run around to see if there was anything else and preferred the pizza place once they saw it","C=1"
"t100000","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","they could not be bothered to look around for the hot dog place even though it is their favourite","C=0"
"t001011","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","They did not know the area so did not know which way to go but were willing to look around for the hot dog place","K=0"
"t111010","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","they knew this was the shortest path to their favourite food","Ku_p=1"
"t101001","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.","they wanted to take a long route on purpose, so despite passing their favourite food they wanted to walk/run a bit further","Cu=1"
"t010101","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","they decided to stop being lazy for once and took the long route","Cu=1"
"t110111","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","they went to the pizza place but decided they wanted hot dogs instead","Pu_f=1"
"t100001","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","they do not know where they are going","K=0"
"t001100","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","brooklyn wanted pizza or was hungry and it was the first thing they found","Pu_f=0"
"t000111","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","Adrian got lost","K=0"
"t111011","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","Taylor wanted some excersise so took a longer route","Cu=1"
"t011101","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","drew wanted excersise so took the long route","Cu=1"
"t110000","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route.","Parker was starving and wanted something to eat now","Pu_p=1"
"t010110","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","charlie did not want to walk far for food","C=0"
"t010010","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.","They wanted hot dogs today","Pu_f=1"
"t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","The pizza was the closest","Su=0"
"t011001","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","He hadn't realised the pizza shop was just down the road and walked all the way round to find it","Ku_f=0"
"t111111","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by long route.","He was going for a walk, passed the pizza stand but didn't want that, then came to the hot dog stand and chose to buy","Pu_f=1"
"t101110","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route.","He saw the hot dog stand in the distance and chose to get one","Su=1"
"t000011","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","He was looking for the hot dog stand and walked the long way to get it","Pu_f=1"
"t100101","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","He was looking for the pizza stand and walked the long way to get it","Pu_f=0"
"t110100","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","He came to the pizza stand first so decided to get one","Su=0"
"t000011","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","Adrian went the long way because he does not know the area.","K=0"
"t010010","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.","Charlie knows the area well so went the quickest way.","K=1"
"t101110","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route.","Jesse went the quickest way because his favourite food is hot dogs.","P=1"
"t110100","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","Parker went what he thought was the quickest way because he is lazy.","C=0"
"t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","He saw the pizza stand and knew it was closer.","Ku_f=1"
"t011001","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","Drew is sporty so went the longest way to get some exercise.","C=1"
"t111111","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by long route.","Taylor went for his favourite food hot dogs and is sporty so went the longest way.","C=1"
"t100101","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","Harper chose the route because he does not know the area well.","K=0"
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","He knows the area well so took a longer route.","K=1"
"t111100","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","They know the area well so went to the stand around the corner.","K=1"
"t000000","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","Adrian is lazy so went to the closest stand.","C=0"
"t101011","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","They don't know the area well so went round the estate.","K=0"
"t100010","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","Harper's favourite food is hot dogs, so went looking.","P=1"
"t110001","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","They know the area well so went a longer route.","K=1"
"t001101","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","They are sporty so went a longer route.","C=1"
"t011010","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","Drew fancied hot dogs over pizza","Pu_f=1"
"t101111","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by long route.","Jesse took a longer route to the hot dog stand because he is sporty","C=1"
"t010011","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","Charlie took the long route to warrant eating a hot dog","Cu=1"
"t100110","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","Harpers favorite food is hot dogs","P=1"
"t000100","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route.","Adrian doesn't want hot dogs","P=0"
"t001001","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.","Brooklyn to a long walk to get to the pizza because he is sporty","C=1"
"t111000","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","Taylor fancied pizza over his favorite food","Pu_f=0"
"t110101","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","The hot dog place was closed so he carried on to the pizza place","br_f=0"
"t011101","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","He is sporty and was wanting the most exercise possible, so chose the longest route","C=1"
"t100001","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","They didn't feel like hot dogs on this day","Pu_f=0"
"t110000","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route.","They are lazy","C=0"
"t101010","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","They really wanted a hot dog","Pu_f=1"
"t010110","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","He knows where the hot dog stand is and wanted a hot dog","Pu_f=1"
"t111011","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","They are sporty and wanted the most amount of exercise possible","C=1"
"t001100","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","They didnt want a hot dog","Pu_f=0"
"t000111","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","He doesn't know the area so didnt see anything else he wanted on his walk","K=0"
"t010000","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route.","He is lazy and so he has chosen the path which is the quickest and easiest to get to the pizza truck","C=0"
"t001110","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route.","He didn't know which direction to go in and could probably see the hotdog stand from where he was, so chose that path","Su=1"
"t000001","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","Whilst he is lazy, he wanted to explore the area to get to know it a bit better and held out for pizza","K=0"
"t100011","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","He didnt know a quicker or faster route to get to the hotdog stand, he must have seen the pizza stand and thought there would be a simular seller with hotdogs close by so kept going","Ku_p=0"
"t111101","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","He has taken a longer route than normal due to being sporty, and has decided along the way that he doesnt want hotdogs today and therefore continues on to get pizza, whilst getting more exercise","C=1"
"t110010","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.","He is lazy, knows the area well and so has chosen the quickest path to his favourite food-hotdogs","C=0"
"t101100","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","He couldnt see the hotdogs from he was and as he doesnt know the area well, he went in the wrong direction and settled for pizza","K=0"
"t011111","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by long route.","Being sporty, he has chosen to take the longest route, as he knows the area well, and has gotten extra exercise, ending with his favourite food","C=1"
"t110101","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","Parker knew that the hot dog stand was nearby but decided to see what was around the corner.","br_p=1"
"t000100","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route.","Adrian took the quickest route purely by chance as he didn't know the area well.","K=0"
"t100110","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","Harper found the hot dog stand quickly as it was very close by despite the fact that they did not know the area well.","Su=1"
"t111000","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","Taylor knew the hot dog stand was nearby and they could reach it quickly by running.","Ku_f=1"
"t101111","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by long route.","Jesse preferred to take a longer route to the food stand because they are sporty.","C=1"
"t001001","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.","Brooklyn guessed that the pizza stand could be reached around the block so he decided to run to reach it as he is sporty.","C=1"
"t011010","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","Drew knows the area well and took the quickest route he knows to the hot dog stand from his original location.","K=1"
"t010011","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","The road was blocked so Charlie took the second route he knows to the hot dog stand.","Su=1"
"t101101","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","They took the long route to the pizza stand because they are sporty and wanted to take the longer route.","C=1"
"t110011","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","Parker took the longer route because they know the area well. The shorter route may have obstacles they know of.","K=1"
"t111110","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","They know the area well.","K=1"
"t100100","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route.","They don't know the area well.","K=0"
"t001111","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by long route.","They are sporty.","C=1"
"t000010","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","They are lazy.","C=0"
"t011000","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","They know the area well.","K=1"
"t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","They know the area well.","K=1"
"t110110","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","they like hot dogs","P=1"
"t101000","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","they were hungry and grabbed what was nearest","Pu_p=1"
"t000101","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","they dont like hotdogs so had to keep walking","P=0"
"t011011","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","they are sporty so wanted a long walk","C=1"
"t001010","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","they didnt want pizza so went other way","Pu_f=1"
"t111001","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","they are sporty so went a long way","C=1"
"t100111","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","they wasnt hungry at first then became hungry so went to where the hot dogs were","Pu_f=1"
"t010100","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","they knew the pizza was closest","Ku_f=1"
"t111010","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","They went to the hot dog stand because their favourite food is hot dogs.","P=1"
"t010101","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","They prefer pizza to hot dogs because, despite being lazy, they walked past the hot dog stand to get to the pizza stand instead.","P=0"
"t110111","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","They do not know the area as well as they think they do because, despite being lazy, they took the longer route to the hot dog stand rather than just simply walking down the street to it.","K=0"
"t000110","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","They chose the most convenient place (i.e. the first place they stumbled across) to get food because they do not know where they are and are too lazy to explore further.","C=0"
"t100000","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","Because they don't know the area well and are also lazy they opted to go to the first food stand they came across, the pizza stand.","C=0"
"t101001","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.","Despite being able to see the pizza stand from where they began, their sporty side took over and they decided to go the long way around to work up an appetite before having some pizza.","C=1"
"t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","As the two food stands are relatively equidistant from where they began, the fact that they are sporty didn't really impact on their chosen route and they simply went to the food stand selling what they wanted most at the time. In this instance, pizza.","Pu_f=0"
"t001011","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","As they are sporty, they chose to bypass the pizza stand despite not knowing the area well to get some extra exercise in, stopping at the hot dog stand when they were finished.","C=1"
"t110110","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","They go to the hot dog stand because it's closer.","Su=1"
"t000101","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","They don't know the pizza stand is around the corner""","Ku_f=0"
"t111001","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","They wanted to take the long route because they are sporty","C=1"
"t011011","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","They wanted to take the long route because they are sporty","C=1"
"t010100","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","They don't know the pizza stand is around the corner""","Ku_f=0"
"t100111","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","They don't know the hot dog stand is around the corner""","Ku_f=0"
"t101000","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","They go to the pizza stand because it's closer.","Su=0"
"t001010","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","They go to the hot dog stand because it's their favorite.","P=1"
"t011110","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","Drew didn't want to exercise today.","Cu=0"
"t111100","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","Today Taylor did not want to eat hot dogs.","Pu_f=0"
"t110001","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","Parker is not as lazy as they say.","Cu=1"
"t001101","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","Brooklyn worked out before having a nice pizza.","C=1"
"t100010","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","Harper went for his hot dogs no matter what the cost.","P=1"
"t101011","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","Jesse walked long enough to eat his favorite food.","C=1"
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","Charlie is not lazy.","Cu=1"
"t000000","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","Adrian is quite lazy.","C=0"
"t110111","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","Even though it says they are lazy maybe they wanted to get more exercise or they thought about having pizza as a change but carried on to the hot dog stand as they realized they didn't really fancy a change after all","Pu_f=1"
"t001011","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","He didn't mind walking, he doesn't know the area so took a gamble and it was the long way round. Also he would have seen the pizza cart and maybe thought another eating cart would be nearby","K=0"
"t100000","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","He couldn't be bothered to walk that far for a hotdog and he was hungry so decided on pizza as it was closer","C=0"
